Month,Topic,Score
'January 2020','doubt',0.12177076684248733
'January 2020','far-right',0.19565978514580484
'January 2020','Bill-Gates',0.15290702775521442
'January 2020','side-effects',0.1434900752271084
'January 2020','covid-response',0.07558107169902162
'January 2020','politics',0.0694355549071788
'January 2020','politics',0.0815702361125088
'January 2020','doubt',0.10863789202895341
'January 2020','side-effects',0.07190590340772822
'January 2020','side-effects',0.10709959932053333
'January 2020','doubt',0.1752985724052421
'January 2020','doubt',0.09653894253952065
'January 2020','treatment',0.22417408562314925
'January 2020','side-effects',0.10783281636087697
'January 2020','covid-response',0.14164585533464819
'January 2020','doubt',0.1464553747210786
'January 2020','covid-response',0.06439215242123353
'January 2020','Bill-Gates',0.06522781057079721
'January 2020','doubt',0.07014592190015928
'January 2020','side-effects',0.08996407983977521
'January 2020','side-effects',0.16162244225992878
'January 2020','side-effects',0.11909903928975818
'January 2020','covid-response',0.07674174254262975
'January 2020','treatment',0.5832322677797184
'January 2020','politics',0.11568605444112276
'January 2020','side-effects',0.0674950507462335
'January 2020','politics',0.06456161790426951
'January 2020','treatment',0.07512221799493107
'January 2020','bio-attack',0.11585871171187201
'January 2020','Bill-Gates',0.05893969008414081
'January 2020','politics',0.16526581808258906
'January 2020','side-effects',0.2935222250589581
'January 2020','side-effects',0.0607200399197957
'January 2020','side-effects',0.08259088390295684
'January 2020','bio-attack',0.5437700451379612
'January 2020','Bill-Gates',0.2810417717954801
'January 2020','politics',0.058231461655043906
'January 2020','Bill-Gates',0.21551118332283148
'January 2020','far-right',0.06542909395908508
'January 2020','covid-response',0.0644922178583987
'January 2020','Bill-Gates',0.36565210825895444
'January 2020','covid-response',0.16068761192323172
'January 2020','politics',0.23821218764830515
'January 2020','Bill-Gates',0.15788657341261636
'January 2020','politics',0.0626033011212091
'January 2020','politics',0.12898647948396214
'January 2020','politics',0.0747569296523691
'January 2020','covid-response',0.08481725248620403
'January 2020','politics',0.057456168689037565
'January 2020','bio-attack',0.4487593641260208
'January 2020','politics',0.15166932297712538
'January 2020','covid-response',0.06454614779564687
'January 2020','politics',0.08971144619559447
'January 2020','bio-attack',0.2481709982187319
'January 2020','bio-attack',0.31164812892860655
'January 2020','covid-response',0.05134522264112522
'January 2020','politics',0.12530108361552117
'January 2020','politics',0.06259580156509445
'January 2020','politics',0.166821836076953
'January 2020','politics',0.09204875765264961
'January 2020','Bill-Gates',0.33987951296176666
'January 2020','politics',0.050090442119148926
'January 2020','bio-attack',0.21479594201763547
'January 2020','covid-response',0.10507947838753792
'January 2020','bio-attack',0.062333346170438564
'January 2020','far-right',0.06995732420043876
'January 2020','politics',0.21169103352126833
'January 2020','bio-attack',0.2969836401535517
'January 2020','politics',0.052378199626609764
'January 2020','politics',0.08805448095488136
'January 2020','covid-response',0.08868733027555417
'January 2020','covid-response',0.2744750048143026
'January 2020','politics',0.20760816492537454
'January 2020','bio-attack',0.39977987638512286
'January 2020','covid-response',0.06253575028014428
'January 2020','far-right',0.07965643844661274
'January 2020','politics',0.059002612632917256
'January 2020','politics',0.09397369754485893
'January 2020','politics',0.11940600108866084
'January 2020','politics',0.06111001676281831
'January 2020','far-right',0.05289106933626525
'January 2020','politics',0.07386116605167613
'January 2020','politics',0.05590919593360767
'January 2020','politics',0.23194749166239192
'January 2020','politics',0.058054906674475125
'January 2020','treatment',0.08793182777362847
'January 2020','politics',0.0853999414026148
'January 2020','covid-response',0.07629060845141832
'January 2020','covid-response',0.10268580468447222
'January 2020','covid-response',0.05246186089634436
'January 2020','far-right',0.3990114160724372
'January 2020','politics',0.061232675027743155
'January 2020','Bill-Gates',0.46399447447862363
'January 2020','Bill-Gates',0.2948271812069714
'January 2020','politics',0.057652089184512034
'January 2020','politics',0.09230457089141197
'January 2020','politics',0.12114303990804402
